Location,TFR_1953,NRR_2048,Births_2033,LExMale_2048,IMR_1953,CDR_1978,CDR_2008,CDR_2028,GrowthRate_1988,GrowthRate_1993,GrowthRate_2008,SRB_2008,MAC_1963,MAC_2008,MAC_2038,target
Italy,2.355,0.818,2384.486,85.21,59.105,9.853,9.741,11.526,0.04,0.045,0.311,1.063,28.989,31.036,32.187,2
Jamaica,4.22,0.846,175.713,78.38,89.99,6.434,6.966,7.725,0.719,0.913,0.522,1.05,27.668,27.218,28.879,1
Japan,2.96,0.822,4680.764,84.71,47.674,6.087,8.771,12.594,0.426,0.297,0.034,1.056,27.668,30.224,32.175,2
Jordan,7.38,1.06,1137.924,77,147.339,7.39,3.902,4.081,4.132,5.004,4.574,1.054,30.087,29.836,29.886,2
Kazakhstan,4.406,0.999,1575.46,70.66,110.008,8.918,10.379,8.7,0.929,-0.621,1.074,1.06,29.32,28.068,30.101,1
Kenya,7.481,1.235,8948.594,72.22,147.012,12.489,8.614,5.171,3.494,3.115,2.744,1.03,29.135,29.132,28.368,3
Kiribati,6.1,1.296,16.148,67.33,142.416,11.713,7.191,6.978,2.468,1.417,2.119,1.07,30.22,30.468,31.051,1
Kuwait,7.2,0.883,303.7,77.28,123.772,4.438,2.55,4.086,3.769,-5.302,5.506,1.045,28.108,29.799,30.192,2
Kyrgyzstan,4.361,1.071,642.78,71.74,140.001,10.173,7.676,6.274,1.817,0.865,1.323,1.06,30.131,28.132,28.981,3
Lao People's Democratic Republic,5.943,0.861,701.363,71.94,176.793,17.018,7.813,6.187,2.877,2.609,1.642,1.05,29.552,28.406,27.162,3
Latvia,2,0.852,73.094,75.51,76.879,12.556,14.734,15.514,0.638,-1.206,-1.219,1.041,27.784,28.444,31.382,1
Lebanon,5.74,0.822,308.69,84.02,68.415,7.301,4.696,5.869,0.196,2.306,1.684,1.05,29.336,29.623,30.309,2
Lesotho,5.84,1.042,295.206,65.9,169.273,15.077,15.31,10.666,1.714,1.872,0.912,1.03,30.07,28.03,27.282,3
Liberia,6.271,1.443,987.117,71.25,223.715,20.345,10.265,5.885,-0.889,-0.228,3.823,1.054,28.25,29.034,28.161,1
Libya,7.143,0.837,503.762,73.62,253.641,8.464,4.678,5.663,2.713,2.185,1.259,1.059,29.346,32.854,32.281,1
Lithuania,2.84,0.881,126.247,75.21,107.742,9.966,13.984,14.554,0.737,-0.379,-1.364,1.047,29.142,28.14,30.806,1
Luxembourg,1.98,0.842,37.744,84.72,43.399,11.986,8.186,7.152,0.796,1.335,2.075,1.054,27.459,30.216,32.494,2
Madagascar,7.3,1.409,5250.994,71.65,182.707,17.966,7.943,5.212,2.839,3,2.856,1.025,29.34,28.295,27.649,3
Malawi,6.85,1.401,4280.928,71.47,197.871,21.887,11.745,5.671,5.381,0.975,3.023,1.025,29.713,28.986,27.385,3
Malaysia,6.349,0.839,2497.714,78.27,102.364,6.132,4.672,5.82,2.906,2.554,1.826,1.06,29.414,30.538,31.077,1
Maldives,6.03,0.819,26.612,83.48,268.326,15.078,3.393,3.467,3.261,2.59,2.677,1.064,28.184,29.011,29.205,3
Mali,6.95,1.588,5096.352,66.55,242.162,26.871,13.566,7.449,1.555,2.525,3.274,1.05,29.155,29.097,28.971,3
Malta,4.136,0.814,19.108,84.75,50.505,8.624,8.113,10.282,0.854,0.853,0.453,1.06,29.004,29.07,31.605,2
Martinique,5.71,0.873,19.782,83.89,80.762,7.161,7.537,9.777,1.064,0.565,-0.108,1.04,30.335,29.651,30.781,2
Mauritania,6.338,1.452,908.134,65.01,147.974,13.885,8.868,7.329,2.743,2.73,2.846,1.05,29.977,30.5,30.208,1
