Location,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,cluster
Mali,26.96,27.98,28.61,30.8,34.2,37.71,41.55,44.51,46.57,46.75,49.96,54.02,56.23,4
Malta,66.13,67.82,69.34,70.73,72.03,73.22,74.36,75.49,76.53,77.53,78.48,79.4,80.28,1
Martinique,55.57,58.88,61.86,64.65,67.26,69.69,71.88,73.86,75.67,77.37,78.94,80.11,81.2,1
Mauritania,38.59,41.72,45.19,47.94,50.28,52.73,55.76,57.77,58.89,59.84,60.27,61.32,62.64,3
Mauritius,50.2,55.75,61.22,62.95,63.53,65.66,68.12,68.52,70.28,70.39,72.09,72.76,74.14,2
Mayotte,47.26,52.81,57.07,60.71,63.87,66.61,69.02,71.14,73.09,74.86,76.47,77.95,79.34,2
Mexico,50.7,55.27,58.47,60.29,62.57,65.31,67.72,69.83,71.81,73.67,74.9,75.72,76.48,2
Micronesia (Fed. States of),54.58,56.58,58.58,60.59,62.69,64.77,65.34,65.93,66.49,67.05,67.58,68.35,68.79,2
Middle-income countries,43.43,45.88,47.94,53.35,56.54,59.02,61.01,62.81,63.88,65,66.51,68.26,69.97,5
Mongolia,43.18,46.09,50.73,53.87,56.43,56.85,57.3,59.6,60.77,61.82,64.08,66.14,68.47,5
Montenegro,59.77,62.11,65.6,68.35,71.27,72.53,73.63,74.23,74.73,73.39,73.39,74.19,76.39,1
More developed regions,64.82,67.72,69.48,70.32,71.13,72.02,72.85,73.94,74.16,74.8,75.59,76.93,78.43,1
Morocco,45.67,47.45,49.52,51.64,53.53,55.75,59.58,63.2,65.98,67.65,69.97,72.89,74.86,5
Mozambique,31.29,33.79,36.18,38.14,40.37,42.21,41.46,42.3,43.91,47.2,49.56,53.24,56.08,4
Myanmar,36.07,41.24,44.2,49.61,51.87,53.97,55.95,57.83,59.62,61.28,62.94,64.26,66.01,3
Namibia,41.74,45.27,48.43,51.2,53.51,56.6,58.32,60.67,61.52,58.1,53.82,54.98,61.75,3
Nepal,34.01,34.56,36.2,39.08,42.02,44.93,48.34,52.13,56.44,60.51,64.06,66.79,68.9,3
Netherlands,71.93,72.94,73.46,73.64,74.11,75.17,76.14,76.72,77.26,77.84,78.67,80.18,81.31,1
New Caledonia,50.74,54.6,58.03,61.04,63.69,66.02,68.07,69.88,71.45,72.82,74.06,75.16,76.26,2
New Zealand,69.77,70.69,71.18,71.27,71.78,72.63,73.77,74.45,76.35,77.57,79.07,80.32,81.32,1
Nicaragua,42.29,45.43,48.66,51.96,55.26,57.61,59.46,62.18,66.11,68.49,70.91,72.83,74.47,5
Niger,34.49,34.82,35.28,35.62,36.32,37.76,40.26,42.27,45.01,48.36,51.41,54.91,58.53,4
Nigeria,33.81,35.8,38.13,39.97,42.03,44.28,46.02,45.95,45.87,46,46.94,49.74,51.88,4
Norway,72.8,73.48,73.47,73.91,74.43,75.3,76,76.28,77.29,78.29,79.33,80.6,81.61,1
Oman,36.05,40.53,44.71,48.55,52.26,57.38,61.92,65.64,68.52,70.93,73.23,75.06,76.22,5
Pakistan,37.04,42.73,47.49,51.25,54.14,56.11,57.76,59.3,60.76,62.08,63.33,64.37,65.86,3
Panama,56.8,59.5,62.15,64.36,66.74,69.22,71,72.38,73.55,74.6,75.54,76.36,77.32,2
Papua New Guinea,38.31,40.93,43.04,46.88,50.12,53.72,57.12,58.07,59.71,61.1,62.59,64.18,64.97,3
Paraguay,62.73,63.29,64.47,65.04,65.93,66.51,67.07,67.59,68.49,69.4,70.75,71.75,72.74,2
Peru,43.91,46.28,49.12,51.49,55.52,58.53,61.55,64.29,66.75,69.27,71.6,73.14,74.16,5
Philippines,55.43,57.08,58.62,60.08,61.41,61.66,62.87,64.7,65.7,66.78,67.49,68.05,68.61,2
Poland,61.44,65.89,68.31,69.79,70.29,70.36,70.69,70.73,71.15,72.72,74.59,75.56,76.99,1
Portugal,60.3,62.37,64.45,66.37,68.33,70.4,72.52,74.04,74.89,76,77.58,79.28,80.5,1
Puerto Rico,63.53,67.91,69.12,70.74,72.35,73.53,73.92,74.58,73.84,74.89,76.78,77.85,79.22,1
Qatar,55.26,59.2,62.95,66.64,69.73,71.78,73.37,74.54,75.34,75.97,76.55,76.97,77.68,1
